id,shortname,theme,group,sort,name,url,description,type,sourceurl,localfile,redirect,redistribute
gadm,adm0,admin,admin,NA,Administrative 0,metadata.html,Country Borders,raster,http://gadm.org,gadm/adm0.tif,,0
gadm,adm0,admin,admin,NA,Administrative 0,metadata.html,Country Borders,vector,http://gadm.org,NA,,0
gadm,adm1,admin,admin,NA,Administrative 1,metadata.html,1st level administrative sub-divisions,vector,http://gadm.org,NA,,0
gadm,adm2,admin,admin,NA,Administrative 2,metadata.html,2nd level administrative sub-divisions,vector,http://gadm.org,NA,,0
gadm,adm3,admin,admin,NA,Administrative 3,metadata.html,3rd level administrative sub-divisions,vector,http://gadm.org,NA,,0
gadm,adm4,admin,admin,NA,Administrative 4,metadata.html,4th level administrative sub-divisions,vector,http://gadm.org,NA,,0
gadm,adm5,admin,admin,NA,Administrative 5,metadata.html,5th level administrative sub-divisions,vector,http://gadm.org,NA,,0
gadm,gadm,admin,admin,1,Administrative Divisions,metadata.html,"All levels of administrative divisions available, including country border.",vector,http://gadm.org,adm/gadm.zip,http://biogeo.ucdavis.edu/data/gadm2.8/shp/ISO3_adm_shp.zip,1
wc,bio1,climate,climate,1,Annual Mean Temperature,metadata.html,Average annual mean temperature (°C) for 1950-2000. ,raster,http://worldclim.org,bio/bio1.tif,,1
wc,bio10,climate,temp,4,Mean Temperature of Warmest Quarter,metadata.html,Mean Temperature of Warmest Quarter  for 1950-2000. ,raster,http://worldclim.org,bio/bio10.tif,,1
wc,bio11,climate,temp,5,Mean Temperature of Coldest Quarter,metadata.html,Mean Temperature of Coldest Quarter  for 1950-2000. ,raster,http://worldclim.org,bio/bio11.tif,,1
wc,bio12,climate,climate,2,Annual Precipitation,metadata.html,Annual Precipitation  for 1950-2000. ,raster,http://worldclim.org,bio/bio12.tif,,1
wc,bio13,climate,rain,3,Precipitation of Wettest Month,metadata.html,Precipitation of Wettest Month  for 1950-2000. ,raster,http://worldclim.org,bio/bio13.tif,,1
wc,bio14,climate,rain,4,Precipitation of Driest Month,metadata.html,Precipitation of Driest Month  for 1950-2000. ,raster,http://worldclim.org,bio/bio14.tif,,1
wc,bio15,climate,rain,1,Precipitation Seasonality,metadata.html,Precipitation Seasonality (Coefficient of Variation) for 1950-2000. ,raster,http://worldclim.org,bio/bio15.tif,,1
wc,bio16,climate,rain,5,Precipitation of Wettest Quarter,metadata.html,Precipitation of Wettest Quarter  for 1950-2000. ,raster,http://worldclim.org,bio/bio16.tif,,1
wc,bio17,climate,rain,6,Precipitation of Driest Quarter,metadata.html,Precipitation of Driest Quarter  for 1950-2000. ,raster,http://worldclim.org,bio/bio17.tif,,1
wc,bio18,climate,rain,7,Precipitation of Warmest Quarter,metadata.html,Precipitation of Warmest Quarter  for 1950-2000. ,raster,http://worldclim.org,bio/bio18.tif,,1
wc,bio19,climate,rain,8,Precipitation of Coldest Quarter,metadata.html,Precipitation of Coldest Quarter  for 1950-2000. ,raster,http://worldclim.org,bio/bio19.tif,,1
wc,bio2,climate,temp,2,Temperature Mean Diurnal Range,metadata.html,Mean Diurnal Range (Mean of monthly (max temp - min temp)) for 1950-2000. ,raster,http://worldclim.org,bio/bio2.tif,,1
wc,bio3,climate,temp,3,Isothermality,metadata.html,Isothermality  (BIO2/BIO7) (* 100) for 1950-2000. ,raster,http://worldclim.org,bio/bio3.tif,,1
wc,bio4,climate,temp,2,Temperature Seasonality,metadata.html,Temperature Seasonality (standard deviation *100) for 1950-2000. ,raster,http://worldclim.org,bio/bio4.tif,,1
wc,bio5,climate,temp,7,Max Temperature of Warmest Month,metadata.html,Max Temperature of Warmest Month for 1950-2000. ,raster,http://worldclim.org,bio/bio5.tif,,1
wc,bio6,climate,temp,6,Min Temperature of Coldest Month,metadata.html,Min Temperature of Coldest Month for 1950-2000. ,raster,http://worldclim.org,bio/bio6.tif,,1
wc,bio7,climate,temp,1,Temperature Annual Range,metadata.html,Temperature Annual Range (BIO5-BIO6) for 1950-2000. ,raster,http://worldclim.org,bio/bio7.tif,,1
wc,bio8,climate,temp,8,Mean Temperature of Wettest Quarter,metadata.html,Mean Temperature of Wettest Quarter for 1950-2000. ,raster,http://worldclim.org,bio/bio8.tif,,1
wc,bio9,climate,temp,9,Mean Temperature of Driest Quarter,metadata.html,Mean Temperature of Driest Quarter for 1950-2000. ,raster,http://worldclim.org,bio/bio9.tif,,1
wc2,bio1,climate,climate,1,Annual Mean Temperature,metadata.html,Average annual mean temperature (°C) for 1970-2000. ,raster,http://worldclim.org/version2,worldclim/v2.0/tif/base/wc2.0_bio_30s_01.tif,,0
wc2,bio10,climate,temp,4,Mean Temperature of Warmest Quarter,metadata.html,Mean Temperature of Warmest Quarter  for 1970-2000. ,raster,http://worldclim.org/version2,worldclim/v2.0/tif/base/wc2.0_bio_30s_10.tif,,0
wc2,bio11,climate,temp,5,Mean Temperature of Coldest Quarter,metadata.html,Mean Temperature of Coldest Quarter  for 1970-2000. ,raster,http://worldclim.org/version2,worldclim/v2.0/tif/base/wc2.0_bio_30s_11.tif,,0
wc2,bio12,climate,climate,2,Annual Precipitation,metadata.html,Annual Precipitation  for 1970-2000. ,raster,http://worldclim.org/version2,worldclim/v2.0/tif/base/wc2.0_bio_30s_12.tif,,0
wc2,bio13,climate,rain,3,Precipitation of Wettest Month,metadata.html,Precipitation of Wettest Month for 1970-2000. ,raster,http://worldclim.org/version2,worldclim/v2.0/tif/base/wc2.0_bio_30s_13.tif,,0
wc2,bio14,climate,rain,4,Precipitation of Driest Month,metadata.html,Precipitation of Driest Month for 1970-2000. ,raster,http://worldclim.org/version2,worldclim/v2.0/tif/base/wc2.0_bio_30s_14.tif,,0
wc2,bio15,climate,rain,1,Precipitation Seasonality,metadata.html,Precipitation Seasonality (Coefficient of Variation) for 1970-2000. ,raster,http://worldclim.org/version2,worldclim/v2.0/tif/base/wc2.0_bio_30s_15.tif,,0
wc2,bio16,climate,rain,5,Precipitation of Wettest Quarter,metadata.html,Precipitation of Wettest Quarter for 1970-2000. ,raster,http://worldclim.org/version2,worldclim/v2.0/tif/base/wc2.0_bio_30s_16.tif,,0
